Cód. Atividade|CNAE|Descrição da Atividade/Equipamento|TFLF 2020|TFLF 2021|TFLF 2022|TFLF 2023|TFLF 2024|TFLF 2025
768|G4679602|COMÉRCIO ATACADISTA DE MÁRMORES E GRANIT|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
720|G4637105|COMÉRCIO ATACADISTA DE MASSAS ALIMENTÍCI|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
771|G4679699|COMÉRCIO ATACADISTA DE MATERIAIS DE CONS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
765|G4673700|COMÉRCIO ATACADISTA DE MATERIAL ELÉTRICO|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
696|G4623108|COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS A|561,88|575,48|631,1865|684,3324|715,8801|746,2334
698|G4623199|COMÉRCIO ATACADISTA DE MATÉRIAS-PRIMAS A|561,88|575,48|631,1865|684,3324|715,8801|746,2334
734|G4644302|COMÉRCIO ATACADISTA DE MEDICAMENTOS E DR|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
733|G4644301|COMÉRCIO ATACADISTA DE MEDICAMENTOS E DR|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
793|G4693100|COMÉRCIO ATACADISTA DE MERCADORIAS EM GE|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
791|G4691500|COMÉRCIO ATACADISTA DE MERCADORIAS EM GE|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
792|G4692300|COMÉRCIO ATACADISTA DE MERCADORIAS EM GE|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
745|G4649404|COMÉRCIO ATACADISTA DE MÓVEIS E ARTIGOS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
718|G4637103|COMÉRCIO ATACADISTA DE ÓLEOS E GORDURAS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
762|G4669999|COMÉRCIO ATACADISTA DE OUTRAS MÁQUINAS E|966,42|989,81|1085,6236|1177,0331|1231,2943|1283,5012
752|G4649499|COMÉRCIO ATACADISTA DE OUTROS EQUIPAMENT|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
781|G4684299|COMÉRCIO ATACADISTA DE OUTROS PRODUTOS Q|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
719|G4637104|COMÉRCIO ATACADISTA DE PÃES, BOLOS, BISC|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
783|G4686901|COMÉRCIO ATACADISTA DE PAPEL E PAPELÃO E|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
708|G4634603|COMÉRCIO ATACADISTA DE PESCADOS E FRUTOS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
725|G4639702|COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍ|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
724|G4639701|COMÉRCIO ATACADISTA DE PRODUTOS ALIMENTÍ|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
788|G4689301|COMÉRCIO ATACADISTA DE PRODUTOS DA EXTRA|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
750|G4649409|COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIE|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
739|G4646002|COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIE|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
749|G4649408|COMÉRCIO ATACADISTA DE PRODUTOS DE HIGIE|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
737|G4645103|COMÉRCIO ATACADISTA DE PRODUTOS ODONTOLÓ|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
782|G4685100|COMÉRCIO ATACADISTA DE PRODUTOS SIDERÚRG|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
736|G4645102|COMÉRCIO ATACADISTA DE PRÓTESES E ARTIGO|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
785|G4687701|COMÉRCIO ATACADISTA DE RESÍDUOS DE PAPEL|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
786|G4687702|COMÉRCIO ATACADISTA DE RESÍDUOS E SUCATA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
787|G4687703|COMÉRCIO ATACADISTA DE RESÍDUOS E SUCATA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
779|G4684201|COMÉRCIO ATACADISTA DE RESINAS E ELASTÔM|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
730|G4642702|COMÉRCIO ATACADISTA DE ROUPAS E ACESSÓRI|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
694|G4623106|COMÉRCIO ATACADISTA DE SEMENTES, FLORES,|561,88|575,48|631,1865|684,3324|715,8801|746,2334
695|G4623107|COMÉRCIO ATACADISTA DE SISAL|561,88|575,48|631,1865|684,3324|715,8801|746,2334
688|G4622200|COMÉRCIO ATACADISTA DE SOJA|561,88|575,48|631,1865|684,3324|715,8801|746,2334
780|G4684202|COMÉRCIO ATACADISTA DE SOJACOMÉRCIO ATACADISTA DE SOJA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
721|G4637106|COMÉRCIO ATACADISTA DE SORVETES|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
754|G4651602|COMÉRCIO ATACADISTA DE SUPRIMENTOS PARA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
726|G4641901|COMÉRCIO ATACADISTA DE TECIDOS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
767|G4679601|COMÉRCIO ATACADISTA DE TINTAS, VERNIZES|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
769|G4679603|COMÉRCIO ATACADISTA DE VIDROS, ESPELHOS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
770|G4679604|COMÉRCIO ATACADISTA ESPECIALIZADO DE MAT|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
790|G4689399|COMÉRCIO ATACADISTA ESPECIALIZADO EM OUT|966,42|989,81|1085,6236|1177,0331|1231,2943|1283,5012
723|G4637199|COMÉRCIO ATACADISTA ESPECIALIZADO EM OUT|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
648|G4511103|COMÉRCIO POR ATACADO DE AUTOMÓVEIS, CAMI|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
649|G4511104|COMÉRCIO POR ATACADO DE CAMINHÕES NOVOS|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
667|G4541201|COMÉRCIO POR ATACADO DE MOTOCICLETAS E M|674,25|690,57|757,4172|821,1917|859,0486|895,4723
651|G4511106|COMÉRCIO POR ATACADO DE ÔNIBUS E MICROÔN|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
661|G4530701|COMÉRCIO POR ATACADO DE PEÇAS E ACESSÓRI|674,25|690,57|757,4172|821,1917|859,0486|895,4723
668|G4541202|COMÉRCIO POR ATACADO DE PEÇAS E ACESSÓRI|337,13|345,29|378,7141|410,6018|429,5305|447,7426
662|G4530702|COMÉRCIO POR ATACADO DE PNEUMÁTICOS E CÂ|674,25|690,57|757,4172|821,1917|859,0486|895,4723
650|G4511105|COMÉRCIO POR ATACADO DE REBOQUES E SEMI-|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
673|G4542102|COMÉRCIO SOB CONSIGNAÇÃO DE MOTOCICLETAS|134,86|138,12|151,49|164,2455|171,8172|179,1022
653|G4512902|COMÉRCIO SOB CONSIGNAÇÃO DE VEÍCULOS AUT|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1304|G4729602|COMÉRCIO SOB CONSIGNAÇÃO DE VEÍCULOS AUT|561,88|575,48|631,1865|684,3324|715,8801|746,2334
861|G4789004|COMÉRCIO VAREJISTA DE ANIMAIS VIVOS E DE|337,13|345,29|378,7141|410,6018|429,5305|447,7426
856|G4785701|COMÉRCIO VAREJISTA DE ANTIGÜIDADES|112,38|115,1|126,2417|136,8712|143,181|149,2519
866|G4789009|COMÉRCIO VAREJISTA DE ARMAS E MUNIÇÕES|674,25|690,57|757,4172|821,1917|859,0486|895,4723
828|G4755502|COMERCIO VAREJISTA DE ARTIGOS DE ARMARIN|134,86|138,12|151,49|164,2455|171,8172|179,1022
841|G4763604|COMÉRCIO VAREJISTA DE ARTIGOS DE CAÇA, P|224,75|230,19|252,4724|273,7306|286,3495|298,4908
829|G4755503|COMERCIO VAREJISTA DE ARTIGOS DE CAMA, M|404,54|414,33|454,4371|492,7008|515,4143|537,2678
825|G4754702|COMÉRCIO VAREJISTA DE ARTIGOS DE COLCHOA|404,54|414,33|454,4371|492,7008|515,4143|537,2678
826|G4754703|COMÉRCIO VAREJISTA DE ARTIGOS DE ILUMINA|404,54|414,33|454,4371|492,7008|515,4143|537,2678
853|G4783101|COMÉRCIO VAREJISTA DE ARTIGOS DE JOALHER|404,54|414,33|454,4371|492,7008|515,4143|537,2678
849|G4774100|COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA|404,54|414,33|454,4371|492,7008|515,4143|537,2678
836|G4761003|COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELAR|112,38|115,1|126,2417|136,8712|143,181|149,2519
854|G4783102|COMÉRCIO VAREJISTA DE ARTIGOS DE RELOJOA|404,54|414,33|454,4371|492,7008|515,4143|537,2678
832|G4759801|COMÉRCIO VAREJISTA DE ARTIGOS DE TAPEÇAR|404,54|414,33|454,4371|492,7008|515,4143|537,2678
852|G4782202|COMÉRCIO VAREJISTA DE ARTIGOS DE VIAGEM|404,54|414,33|454,4371|492,7008|515,4143|537,2678
850|G4781400|COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁR|404,54|414,33|454,4371|492,7008|515,4143|537,2678
839|G4763602|COMÉRCIO VAREJISTA DE ARTIGOS ESPORTIVOS|404,54|414,33|454,4371|492,7008|515,4143|537,2678
865|G4789008|COMÉRCIO VAREJISTA DE ARTIGOS FOTOGRÁFIC|224,75|230,19|252,4724|273,7306|286,3495|298,4908
848|G4773300|COMÉRCIO VAREJISTA DE ARTIGOS MÉDICOS E|224,75|230,19|252,4724|273,7306|286,3495|298,4908
806|G4723700|COMÉRCIO VAREJISTA DE BEBIDAS|112,38|115,1|126,2417|136,8712|143,181|149,2519
840|G4763603|COMÉRCIO VAREJISTA DE BICICLETAS E TRICI|404,54|414,33|454,4371|492,7008|515,4143|537,2678
838|G4763601|COMÉRCIO VAREJISTA DE BRINQUEDOS E ARTIG|404,54|414,33|454,4371|492,7008|515,4143|537,2678
818|G4744004|COMÉRCIO VAREJISTA DE CAL, AREIA, PEDRA|449,5|460,38|504,9448|547,4611|572,6991|596,9815
851|G4782201|COMÉRCIO VAREJISTA DE CALÇADOS|404,54|414,33|454,4371|492,7008|515,4143|537,2678
804|G4722901|COMÉRCIO VAREJISTA DE CARNES - AÇOUGUES|112,38|115,1|126,2417|136,8712|143,181|149,2519
810|G4731800|COMÉRCIO VAREJISTA DE COMBUSTÍVEIS PARA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
847|G4772500|COMÉRCIO VAREJISTA DE COSMÉTICOS, PRODUT|224,75|230,19|252,4724|273,7306|286,3495|298,4908
837|G4762800|COMÉRCIO VAREJISTA DE DISCOS, CDS, DVDS|224,75|230,19|252,4724|273,7306|286,3495|298,4908
803|G4721104|COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMB|112,38|115,1|126,2417|136,8712|143,181|149,2519
842|G4763605|COMÉRCIO VAREJISTA DE EMBARCAÇÕES E OUTR|674,25|690,57|757,4172|821,1917|859,0486|895,4723
864|G4789007|COMÉRCIO VAREJISTA DE EQUIPAMENTOS PARA|404,54|414,33|454,4371|492,7008|515,4143|537,2678
815|G4744001|COMÉRCIO VAREJISTA DE FERRAGENS E FERRAM|449,5|460,38|504,9448|547,4611|572,6991|596,9815
863|G4789006|COMÉRCIO VAREJISTA DE FOGOS DE ARTIFÍCIO|449,5|460,38|504,9448|547,4611|572,6991|596,9815
807|G4724500|COMÉRCIO VAREJISTA DE HORTIFRUTIGRANJEIR|112,38|115,1|126,2417|136,8712|143,181|149,2519
835|G4761002|COMÉRCIO VAREJISTA DE JORNAIS E REVISTAS|112,38|115,1|126,2417|136,8712|143,181|149,2519
802|G4721103|COMÉRCIO VAREJISTA DE LATICÍNIOS E FRIOS|112,38|115,1|126,2417|136,8712|143,181|149,2519
834|G4761001|COMÉRCIO VAREJISTA DE LIVROS|112,38|115,1|126,2417|136,8712|143,181|149,2519
811|G4732600|COMÉRCIO VAREJISTA DE LUBRIFICANTES|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
816|G4744002|COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATO|404,54|414,33|454,4371|492,7008|515,4143|537,2678
820|G4744099|COMÉRCIO VAREJISTA DE MATERIAIS DE CONST|449,5|460,38|504,9448|547,4611|572,6991|596,9815
819|G4744005|COMÉRCIO VAREJISTA DE MATERIAIS DE CONST|449,5|460,38|504,9448|547,4611|572,6991|596,9815
817|G4744003|COMÉRCIO VAREJISTA DE MATERIAIS HIDRÁULI|449,5|460,38|504,9448|547,4611|572,6991|596,9815
813|G4742300|COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO|224,75|230,19|252,4724|273,7306|286,3495|298,4908
846|G4771704|COMÉRCIO VAREJISTA DE MEDICAMENTOS VETER|224,75|230,19|252,4724|273,7306|286,3495|298,4908
794|G4711301|COMÉRCIO VAREJISTA DE MERCADORIAS EM GER|966,42|989,81|1085,6236|1177,0331|1231,2943|1283,5012
796|G4712100|COMÉRCIO VAREJISTA DE MERCADORIAS EM GER|483,21|494,9|542,8063|588,5106|615,641|641,7441
795|G4711302|COMÉRCIO VAREJISTA DE MERCADORIAS EM GER|966,42|989,81|1085,6236|1177,0331|1231,2943|1283,5012
1313|G4729602|COMéRCIO VAREJISTA DE MERCADORIAS EM LOJAS DE|561,88|575,48|631,1865|684,3324|715,8801|746,2334
824|G4754701|COMÉRCIO VAREJISTA DE MÓVEIS|404,54|414,33|454,4371|492,7008|515,4143|537,2678
860|G4789003|COMÉRCIO VAREJISTA DE OBJETOS DE ARTE|449,5|460,38|504,9448|547,4611|572,6991|596,9815
833|G4759899|COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE|404,54|414,33|454,4371|492,7008|515,4143|537,2678
857|G4785799|COMÉRCIO VAREJISTA DE OUTROS ARTIGOS USA|112,38|115,1|126,2417|136,8712|143,181|149,2519
867|G4789099|COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃ|404,54|414,33|454,4371|492,7008|515,4143|537,2678
809|G4729699|COMÉRCIO VAREJISTA DE PRODUTOS ALIMENTÍC|449,5|460,38|504,9448|547,4611|572,6991|596,9815
844|G4771702|COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUT|224,75|230,19|252,4724|273,7306|286,3495|298,4908
845|G4771703|COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUT|224,75|230,19|252,4724|273,7306|286,3495|298,4908
843|G4771701|COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUT|224,75|230,19|252,4724|273,7306|286,3495|298,4908
862|G4789005|COMÉRCIO VAREJISTA DE PRODUTOS SANEANTES|224,75|230,19|252,4724|273,7306|286,3495|298,4908
858|G4789001|COMÉRCIO VAREJISTA DE SUVENIRES, BIJUTER|224,75|230,19|252,4724|273,7306|286,3495|298,4908
827|G4755501|COMÉRCIO VAREJISTA DE TECIDOS|404,54|414,33|454,4371|492,7008|515,4143|537,2678
812|G4741500|COMÉRCIO VAREJISTA DE TINTAS E MATERIAIS|404,54|414,33|454,4371|492,7008|515,4143|537,2678
814|G4743100|COMÉRCIO VAREJISTA DE VIDROS|404,54|414,33|454,4371|492,7008|515,4143|537,2678
823|G4753900|COMÉRCIO VAREJISTA ESPECIALIZADO DE ELET|224,75|230,19|252,4724|273,7306|286,3495|298,4908
822|G4752100|COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUI|404,54|414,33|454,4371|492,7008|515,4143|537,2678
821|G4751200|COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUI|404,54|414,33|454,4371|492,7008|515,4143|537,2678
1310|G4751201|COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMEN|483,21|494,9|542,8063|588,5106|615,641|641,7441
830|G4756300|COMÉRCIO VAREJISTA ESPECIALIZADO DE INST|449,5|460,38|504,9448|547,4611|572,6991|596,9815
831|G4757100|COMÉRCIO VAREJISTA ESPECIALIZADO DE PEÇA|449,5|460,38|504,9448|547,4611|572,6991|596,9815
926|H5250801|COMISSARIA DE DESPACHOS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1008|K6435203|COMPANHIAS HIPOTECÁRIAS|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1057|L6810201|COMPRA E VENDA DE IMÓVEIS PRÓPRIOS|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1026|K6499905|CONCESSÃO DE CRÉDITO PELAS OSCIP|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
914|H5221400|CONCESSIONÁRIAS DE RODOVIAS, PONTES, TÚN|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1133|N8112500|CONDOMÍNIOS PREDIAIS|359,61|368,31|403,9624|437,976|458,1667|477,593
1230|Q8711505|CONDOMÍNIOS RESIDENCIAIS PARA IDOSOS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
255|C1412601|CONFECÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
253|C1411801|CONFECÇÃO DE ROUPAS ÍNTIMAS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
258|C1413401|CONFECÇÃO DE ROUPAS PROFISSIONAIS, EXCET|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
256|C1412602|CONFECÇÃO, SOB MEDIDA, DE PEÇAS DO VESTU|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
259|C1413402|CONFECÇÃO, SOB MEDIDA, DE ROUPAS PROFISS|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
98|A0220906|CONSERVAÇÃO DE FLORESTAS NATIVAS|449,5|460,38|504,9448|547,4611|572,6991|596,9815
605|F4221901|CONSTRUÇÃO DE BARRAGENS E REPRESAS PARA|674,25|690,57|757,4172|821,1917|859,0486|895,4723
600|F4120400|CONSTRUÇÃO DE EDIFÍCIOS|674,25|690,57|757,4172|821,1917|859,0486|895,4723
496|C3011301|CONSTRUÇÃO DE EMBARCAÇÕES DE GRANDE PORT|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
498|C3012100|CONSTRUÇÃO DE EMBARCAÇÕES PARA ESPORTE E|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
497|C3011302|CONSTRUÇÃO DE EMBARCAÇÕES PARA USO COMER|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
606|F4221902|CONSTRUÇÃO DE ESTAÇÕES E REDES DE DISTRI|674,25|690,57|757,4172|821,1917|859,0486|895,4723
608|F4221904|CONSTRUÇÃO DE ESTAÇÕES E REDES DE TELECO|674,25|690,57|757,4172|821,1917|859,0486|895,4723
616|F4299501|CONSTRUÇÃO DE INSTALAÇÕES ESPORTIVAS E R|674,25|690,57|757,4172|821,1917|859,0486|895,4723
603|F4212000|CONSTRUÇÃO DE OBRAS-DE-ARTE ESPECIAIS|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
610|F4222701|CONSTRUÇÃO DE REDES DE ABASTECIMENTO DE|674,25|690,57|757,4172|821,1917|859,0486|895,4723
612|F4223500|CONSTRUÇÃO DE REDES DE TRANSPORTES POR D|674,25|690,57|757,4172|821,1917|859,0486|895,4723
601|F4211101|CONSTRUÇÃO DE RODOVIAS E FERROVIAS|674,25|690,57|757,4172|821,1917|859,0486|895,4723
1084|M7319004|CONSULTORIA EM PUBLICIDADE|449,5|460,38|504,9448|547,4611|572,6991|596,9815
988|J6204000|CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO|449,5|460,38|504,9448|547,4611|572,6991|596,9815
999|K6424702|COOPERATIVAS CENTRAIS DE CRÉDITO|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1000|K6424703|COOPERATIVAS DE CRÉDITO MÚTUO|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1001|K6424704|COOPERATIVAS DE CRÉDITO RURAL|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
304|C1910100|COQUERIAS|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
1047|K6619302|CORRESPONDENTES DE INSTITUIÇÕES FINANCEI|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1059|L6821801|CORRETAGEM NA COMPRA E VENDA E AVALIAÇÃO|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1060|L6821802|CORRETAGEM NO ALUGUEL DE IMÓVEIS|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1042|K6612603|CORRETORAS DE CÂMBIO|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1043|K6612604|CORRETORAS DE CONTRATOS DE MERCADORIAS|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1040|K6612601|CORRETORAS DE TÍTULOS E VALORES MOBILIÁR|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1054|K6622300|CORRETORES E AGENTES DE SEGUROS, DE PLAN|483,21|494,9|542,8063|588,5106|615,641|641,7441
69|A0159802|CRIAÇÃO DE ANIMAIS DE ESTIMAÇÃO|134,86|138,12|151,49|164,2455|171,8172|179,1022
59|A0152103|CRIAÇÃO DE ASININOS E MUARES|134,86|138,12|151,49|164,2455|171,8172|179,1022
66|A0155504|CRIAÇÃO DE AVES, EXCETO GALINÁCEOS|134,86|138,12|151,49|164,2455|171,8172|179,1022
71|A0159804|CRIAÇÃO DE BICHO-DA-SEDA|134,86|138,12|151,49|164,2455|171,8172|179,1022
54|A0151201|CRIAÇÃO DE BOVINOS PARA CORTE|134,86|138,12|151,49|164,2455|171,8172|179,1022
55|A0151202|CRIAÇÃO DE BOVINOS PARA LEITE|134,86|138,12|151,49|164,2455|171,8172|179,1022
56|A0151203|CRIAÇÃO DE BOVINOS, EXCETO PARA CORTE E|134,86|138,12|151,49|164,2455|171,8172|179,1022
57|A0152101|CRIAÇÃO DE BUFALINOS|134,86|138,12|151,49|164,2455|171,8172|179,1022
116|A0322102|CRIAÇÃO DE CAMARÕES EM ÁGUA DOCE|449,5|460,38|504,9448|547,4611|572,6991|596,9815
110|A0321302|CRIAÇÃO DE CAMARÕES EM ÁGUA SALGADA E SA|449,5|460,38|504,9448|547,4611|572,6991|596,9815
60|A0153901|CRIAÇÃO DE CAPRINOS|134,86|138,12|151,49|164,2455|171,8172|179,1022
58|A0152102|CRIAÇÃO DE EQÜINOS|134,86|138,12|151,49|164,2455|171,8172|179,1022
70|A0159803|CRIAÇÃO DE ESCARGÔ|134,86|138,12|151,49|164,2455|171,8172|179,1022
1081|M7319001|CRIAÇÃO DE ESTANDES PARA FEIRAS E EXPOSI|449,5|460,38|504,9448|547,4611|572,6991|596,9815
63|A0155501|CRIAÇÃO DE FRANGOS PARA CORTE|134,86|138,12|151,49|164,2455|171,8172|179,1022
120|A0322106|CRIAÇÃO DE JACARÉ|449,5|460,38|504,9448|547,4611|572,6991|596,9815
117|A0322103|CRIAÇÃO DE OSTRAS E MEXILHÕES EM ÁGUA DO|449,5|460,38|504,9448|547,4611|572,6991|596,9815
111|A0321303|CRIAÇÃO DE OSTRAS E MEXILHÕES EM ÁGUA SA|449,5|460,38|504,9448|547,4611|572,6991|596,9815
72|A0159899|CRIAÇÃO DE OUTROS ANIMAIS NÃO ESPECIFICA|134,86|138,12|151,49|164,2455|171,8172|179,1022
65|A0155503|CRIAÇÃO DE OUTROS GALINÁCEOS, EXCETO PAR|134,86|138,12|151,49|164,2455|171,8172|179,1022
61|A0153902|CRIAÇÃO DE OVINOS, INCLUSIVE PARA PRODUÇ|134,86|138,12|151,49|164,2455|171,8172|179,1022
115|A0322101|CRIAÇÃO DE PEIXES EM ÁGUA DOCE|449,5|460,38|504,9448|547,4611|572,6991|596,9815
109|A0321301|CRIAÇÃO DE PEIXES EM ÁGUA SALGADA E SALO|449,5|460,38|504,9448|547,4611|572,6991|596,9815
118|A0322104|CRIAÇÃO DE PEIXES ORNAMENTAIS EM ÁGUA DO|134,86|138,12|151,49|164,2455|171,8172|179,1022
112|A0321304|CRIAÇÃO DE PEIXES ORNAMENTAIS EM ÁGUA SA|449,5|460,38|504,9448|547,4611|572,6991|596,9815
62|A0154700|CRIAÇÃO DE SUÍNOS|134,86|138,12|151,49|164,2455|171,8172|179,1022
15|A0119901|CULTIVO DE ABACAXI|134,86|138,12|151,49|164,2455|171,8172|179,1022
84|A0210102|CULTIVO DE ACÁCIA-NEGRA|134,86|138,12|151,49|164,2455|171,8172|179,1022
30|A0133401|CULTIVO DE AÇAÍ|134,86|138,12|151,49|164,2455|171,8172|179,1022
5|A0112101|CULTIVO DE ALGODÃO HERBÁCEO|134,86|138,12|151,49|164,2455|171,8172|179,1022
16|A0119902|CULTIVO DE ALHO|134,86|138,12|151,49|164,2455|171,8172|179,1022
11|A0116401|CULTIVO DE AMENDOIM|134,86|138,12|151,49|164,2455|171,8172|179,1022
1|A0111301|CULTIVO DE ARROZ|134,86|138,12|151,49|164,2455|171,8172|179,1022
31|A0133402|CULTIVO DE BANANA|134,86|138,12|151,49|164,2455|171,8172|179,1022
17|A0119903|CULTIVO DE BATATA-INGLESA|134,86|138,12|151,49|164,2455|171,8172|179,1022
43|A0135100|CULTIVO DE CACAU|134,86|138,12|151,49|164,2455|171,8172|179,1022
42|A0134200|CULTIVO DE CAFÉ|134,86|138,12|151,49|164,2455|171,8172|179,1022
32|A0133403|CULTIVO DE CAJU|134,86|138,12|151,49|164,2455|171,8172|179,1022
8|A0113000|CULTIVO DE CANA-DE-AÇÚCAR|134,86|138,12|151,49|164,2455|171,8172|179,1022
18|A0119904|CULTIVO DE CEBOLA|134,86|138,12|151,49|164,2455|171,8172|179,1022
44|A0139301|CULTIVO DE CHÁ-DA-ÍNDIA|134,86|138,12|151,49|164,2455|171,8172|179,1022
33|A0133404|CULTIVO DE CÍTRICOS, EXCETO LARANJA|134,86|138,12|151,49|164,2455|171,8172|179,1022
34|A0133405|CULTIVO DE COCO-DA-BAÍA|134,86|138,12|151,49|164,2455|171,8172|179,1022
48|A0139305|CULTIVO DE DENDÊ|134,86|138,12|151,49|164,2455|171,8172|179,1022
45|A0139302|CULTIVO DE ERVA-MATE|134,86|138,12|151,49|164,2455|171,8172|179,1022
87|A0210105|CULTIVO DE ESPÉCIES MADEIREIRAS, EXCETO|134,86|138,12|151,49|164,2455|171,8172|179,1022
83|A0210101|CULTIVO DE EUCALIPTO|134,86|138,12|151,49|164,2455|171,8172|179,1022
19|A0119905|CULTIVO DE FEIJÃO|134,86|138,12|151,49|164,2455|171,8172|179,1022
27|A0122900|CULTIVO DE FLORES E PLANTAS ORNAMENTAIS|134,86|138,12|151,49|164,2455|171,8172|179,1022
41|A0133499|CULTIVO DE FRUTAS DE LAVOURA PERMANENTE|134,86|138,12|151,49|164,2455|171,8172|179,1022
9|A0114800|CULTIVO DE FUMO|134,86|138,12|151,49|164,2455|171,8172|179,1022
12|A0116402|CULTIVO DE GIRASSOL|134,86|138,12|151,49|164,2455|171,8172|179,1022
35|A0133406|CULTIVO DE GUARANÁ|134,86|138,12|151,49|164,2455|171,8172|179,1022
6|A0112102|CULTIVO DE JUTA|134,86|138,12|151,49|164,2455|171,8172|179,1022
