Cód. Atividade|CNAE|Descrição da Atividade/Equipamento|TFLF 2020|TFLF 2021|TFLF 2022|TFLF 2023|TFLF 2024|TFLF 2025
1213|Q8640299|ATIVIDADES DE SERVIÇOS DE COMPLEMENTAÇÃO|674,25|690,57|757,4172|821,1917|859,0486|895,4723
1243|R9001906|ATIVIDADES DE SONORIZAÇÃO E DE ILUMINAÇÃ|449,5|460,38|504,9448|547,4611|572,6991|596,9815
1141|N8220200|ATIVIDADES DE TELEATENDIMENTO|179,79|184,14|201,9648|218,9702|229,0647|238,7771
968|J6021700|ATIVIDADES DE TELEVISÃO ABERTA|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
1220|Q8650007|ATIVIDADES DE TERAPIA DE NUTRIÇÃO ENTERA|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1218|Q8650005|ATIVIDADES DE TERAPIA OCUPACIONAL|561,88|575,48|631,1865|684,3324|715,8801|746,2334
1129|N8012900|ATIVIDADES DE TRANSPORTE DE VALORES|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
1127|N8011101|ATIVIDADES DE VIGILÂNCIA E SEGURANÇA PRI|786,63|805,67|883,6589|958,0629|1002,2296|1044,7242
931|H5310501|ATIVIDADES DO CORREIO NACIONAL|1123,75|1150,95|1262,362|1368,6528|1431,7477|1492,4538
1294|S9603399|ATIVIDADES FUNERÁRIAS E SERVIÇOS RELACIO|224,75|230,19|252,4724|273,7306|286,3495|298,4908
1137|N8130300|ATIVIDADES PAISAGÍSTICAS|89,89|92,07|100,9824|109,4851|114,5324|119,3885
588|E3702900|ATIVIDADES RELACIONADAS A ESGOTO, EXCETO|831,56|851,69|934,1336|1012,7876|1059,4772|1104,399
970|J6022502|ATIVIDADES RELACIONADAS À TELEVISÃO POR|719,2|736,6|807,9029|875,9283|916,3086|955,1601
1075|M7119799|ATIVIDADES TÉCNICAS RELACIONADAS À ENGEN|269,71|276,24|302,98|328,491|343,6344|358,2045
1100|M7500100|ATIVIDADES VETERINÁRIAS|292,17|299,24|328,2064|355,8414|372,2457|388,0289
1053|K6621502|AUDITORIA E CONSULTORIA ATUARIAL|449,5|460,38|504,9448|547,4611|572,6991|596,9815
994|K6410700|BANCO CENTRAL|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
995|K6421200|BANCOS COMERCIAIS|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
998|K6424701|BANCOS COOPERATIVOS|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
1004|K6433600|BANCOS DE DESENVOLVIMENTO|1393,45|1427,17|1565,3201|1697,12|1775,3572|1850,6324
